3294,2764.9056603774
3293,
3290,
3284,
3252,
3245,
3209,
3140,
3130,
3104,
2996,
2985,
2983,
2980,
2970,
2955,
2931,
2909,
2905,
2904,
2895,
2895,
2894,
2893,
2891,
2890,
2890,
2882,
2872,
2868,
2853,
2848,
2809,
2804,
2804,
2804,
2803,
2802,
2800,
2798,
2798,
2798,
2795,
2795,
2795,
2795,
2788,
2785,
2784,
2779,
2765,
2763,
2759,
2759,
2755,
2753,
2752,
2750,
2749,
2749,
2744,
2739,
2709,
2699,
2695,
2693,
2691,
2690,
2690,
2687,
2685,
2684,
2674,
2663,
2657,
2655,
2654,
2645,
2644,
2642,
2635,
2622,
2598,
2598,
2594,
2590,
2582,
2578,
2565,
2565,
2533,
2525,
2522,
2509,
2507,
2480,
2478,
2477,
2462,
2454,
2453,
2397,
2388,
2387,
2381,
2340,
